rank,name,king,pic,dir,intro
90,狩猎,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...",人言可畏。
91,大鱼,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...",抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
92,猫鼠游戏,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...",骗子大师和执著警探的你追我跑故事。
93,致命ID,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,"
                            导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet",最不可能的那个人永远是最可能的。
94,断背山,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",每个人心中都有一座断背山。
95,射雕英雄传之东成西就,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1993903133.jpg,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...",百看不厌。
96,甜蜜蜜,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,"
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...",相逢只要一瞬间，等待却像是一辈子。
97,一一,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...",我们都曾经是一一。
98,告白,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...",没有一人完全善，也没有一人完全恶。
99,阳光姐妹淘,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...",再多各自牛逼的时光，也比不上一起傻逼的岁月。
100,加勒比海盗,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...",约翰尼·德普的独角戏。
101,穿条纹睡衣的男孩,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,"
                            导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...",尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
102,上帝之城,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,"
                            导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...",被上帝抛弃了的上帝之城。
103,摩登时代,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...",大时代中的人生，小人物的悲喜。
104,阿凡达,8.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p492458287.jpg,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...",绝对意义上的美轮美奂。
105,爱在黎明破晓前,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452582315.jpg,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",缘分是个连绵词，最美不过一瞬。
106,消失的爱人,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...","年度最佳date movie。"
107,风之谷,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...",动画片的圣经。
108,爱在日落黄昏时,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910924055.jpg,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
109,侧耳倾听,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...",少女情怀总是诗。
110,超脱,8.8,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...",穷尽一生，我们要学会的，不过是彼此拥抱。
111,红辣椒,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...",梦的勾结。
112,恐怖直播,8.7,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,"
                            导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...",恐怖分子的“秋菊打官司”。
113,倩女幽魂,8.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,"
                            导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...",两张绝世的脸。
